ID,ID.new,location,site,replicate,landscape,region,bbspecies.new,bbspecies,sample,AS
ZH_A_p_1,1Ap1,ZH,ZHUA,A,U,ZHU,p,B.pascuorum,1,47.37
ZH_B_p_2,1Bp2,ZH,ZHUB,B,U,ZHU,p,B.pascuorum,2,27.98
ZH_C_l_1,1Cl1,ZH,ZHUC,C,U,ZHU,l,B.lapidarius,1,19.70
ZH_C_p_1,1Cp1,ZH,ZHUC,C,U,ZHU,p,B.pascuorum,1,44.80
ZH_D_l_1,1Dl1,ZH,ZHUD,D,U,ZHU,l,B.lapidarius,1,16.64
ZH_D_p_1,1Dp1,ZH,ZHUD,D,U,ZHU,p,B.pascuorum,1,78.02
ZH_E_l_1,1El1,ZH,ZHRE,E,R,ZHR,l,B.lapidarius,1,40.90
ZH_E_l_3,1El3,ZH,ZHRE,E,R,ZHR,l,B.lapidarius,3,32.17
ZH_E_l_6,1El6,ZH,ZHRE,E,R,ZHR,l,B.lapidarius,6,21.56
ZH_E_p_1,1Ep1,ZH,ZHRE,E,R,ZHR,p,B.pascuorum,1,118.59
ZH_E_p_3,1Ep3,ZH,ZHRE,E,R,ZHR,p,B.pascuorum,3,82.75
ZH_E_p_5,1Ep5,ZH,ZHRE,E,R,ZHR,p,B.pascuorum,5,31.18
ZH_E_p_7,1Ep7,ZH,ZHRE,E,R,ZHR,p,B.pascuorum,7,43.56
ZH_F_p_1,1Fp1,ZH,ZHRF,F,R,ZHR,p,B.pascuorum,1,126.04
BS_A_l_10,2Al10,BS,BSUA,A,U,BSU,l,B.lapidarius,10,25.88
BS_A_l_11,2Al11,BS,BSUA,A,U,BSU,l,B.lapidarius,11,32.02
BS_A_l_12,2Al12,BS,BSUA,A,U,BSU,l,B.lapidarius,12,94.23
BS_A_p_1,2Ap1,BS,BSUA,A,U,BSU,p,B.pascuorum,1,27.67
BS_A_p_3,2Ap3,BS,BSUA,A,U,BSU,p,B.pascuorum,3,64.50
BS_A_p_5,2Ap5,BS,BSUA,A,U,BSU,p,B.pascuorum,5,64.60
BS_A_p_6,2Ap6,BS,BSUA,A,U,BSU,p,B.pascuorum,6,52.81
BS_B_l_1,2Bl1,BS,BSUB,B,U,BSU,l,B.lapidarius,1,66.18
BS_B_l_10,2Bl10,BS,BSUB,B,U,BSU,l,B.lapidarius,10,79.76
BS_B_l_2,2Bl2,BS,BSUB,B,U,BSU,l,B.lapidarius,2,79.48
BS_B_l_20,2Bl20,BS,BSUB,B,U,BSU,l,B.lapidarius,20,0.00
BS_B_l_3,2Bl3,BS,BSUB,B,U,BSU,l,B.lapidarius,3,0.00
BS_B_p_1,2Bp1,BS,BSUB,B,U,BSU,p,B.pascuorum,1,119.51
BS_B_p_2,2Bp2,BS,BSUB,B,U,BSU,p,B.pascuorum,2,102.69
BS_B_p_4,2Bp4,BS,BSUB,B,U,BSU,p,B.pascuorum,4,50.56
BS_B_p_5,2Bp5,BS,BSUB,B,U,BSU,p,B.pascuorum,5,124.70
BS_B_p_6,2Bp6,BS,BSUB,B,U,BSU,p,B.pascuorum,6,133.14
BS_B_p_7,2Bp7,BS,BSUB,B,U,BSU,p,B.pascuorum,7,106.44
BS_B_p_8,2Bp8,BS,BSUB,B,U,BSU,p,B.pascuorum,8,121.25
BS_B_p_9,2Bp9,BS,BSUB,B,U,BSU,p,B.pascuorum,9,111.68
BS_C_p_1,2Cp1,BS,BSUC,C,U,BSU,p,B.pascuorum,1,46.19
BS_D_l_1,2Dl1,BS,BSRD,D,R,BSR,l,B.lapidarius,1,117.00
BS_D_l_2,2Dl2,BS,BSRD,D,R,BSR,l,B.lapidarius,2,128.83
BS_D_l_3,2Dl3,BS,BSRD,D,R,BSR,l,B.lapidarius,3,135.13
BS_D_l_4,2Dl4,BS,BSRD,D,R,BSR,l,B.lapidarius,4,98.44
BS_D_l_5,2Dl5,BS,BSRD,D,R,BSR,l,B.lapidarius,5,199.16
BS_D_l_7,2Dl7,BS,BSRD,D,R,BSR,l,B.lapidarius,7,167.15
BS_D_l_8,2Dl8,BS,BSRD,D,R,BSR,l,B.lapidarius,8,57.31
BS_D_l_9,2Dl9,BS,BSRD,D,R,BSR,l,B.lapidarius,9,79.22
BS_D_p_1,2Dp1,BS,BSRD,D,R,BSR,p,B.pascuorum,1,118.64
BS_D_p_2,2Dp2,BS,BSRD,D,R,BSR,p,B.pascuorum,2,55.30
BS_D_p_3,2Dp3,BS,BSRD,D,R,BSR,p,B.pascuorum,3,41.84
BS_D_p_4,2Dp4,BS,BSRD,D,R,BSR,p,B.pascuorum,4,46.40
BS_D_p_5,2Dp5,BS,BSRD,D,R,BSR,p,B.pascuorum,5,95.53
BS_D_p_6,2Dp6,BS,BSRD,D,R,BSR,p,B.pascuorum,6,103.36
BS_D_p_7,2Dp7,BS,BSRD,D,R,BSR,p,B.pascuorum,7,67.94
BS_D_p_8,2Dp8,BS,BSRD,D,R,BSR,p,B.pascuorum,8,86.51
BS_D_p_9,2Dp9,BS,BSRD,D,R,BSR,p,B.pascuorum,9,67.67
BS_E_p_1,2Ep1,BS,BSRE,E,R,BSR,p,B.pascuorum,1,111.46
BS_E_p_2,2Ep2,BS,BSRE,E,R,BSR,p,B.pascuorum,2,41.82
BS_F_l_1,2Fl1,BS,BSRF,F,R,BSR,l,B.lapidarius,1,178.40
BS_F_l_10,2Fl10,BS,BSRF,F,R,BSR,l,B.lapidarius,10,67.35
BS_F_l_2,2Fl2,BS,BSRF,F,R,BSR,l,B.lapidarius,2,156.94
BS_F_l_20,2Fl20,BS,BSRF,F,R,BSR,l,B.lapidarius,20,0.09
BS_F_l_3,2Fl3,BS,BSRF,F,R,BSR,l,B.lapidarius,3,0.19
BS_F_l_30,2Fl30,BS,BSRF,F,R,BSR,l,B.lapidarius,30,55.50
BS_F_l_4,2Fl4,BS,BSRF,F,R,BSR,l,B.lapidarius,4,73.56
BS_F_l_5,2Fl5,BS,BSRF,F,R,BSR,l,B.lapidarius,5,127.43
BS_F_l_6,2Fl6,BS,BSRF,F,R,BSR,l,B.lapidarius,6,115.38
BS_F_l_7,2Fl7,BS,BSRF,F,R,BSR,l,B.lapidarius,7,120.22
BS_F_p_1,2Fp1,BS,BSRF,F,R,BSR,p,B.pascuorum,1,92.24
BS_F_p_3,2Fp3,BS,BSRF,F,R,BSR,p,B.pascuorum,3,71.33
BE_A_p_1,3Ap1,BE,BEUA,A,U,BEU,p,B.pascuorum,1,87.14
BE_A_p_2,3Ap2,BE,BEUA,A,U,BEU,p,B.pascuorum,2,125.80
BE_A_p_3,3Ap3,BE,BEUA,A,U,BEU,p,B.pascuorum,3,118.82
BE_A_p_4,3Ap4,BE,BEUA,A,U,BEU,p,B.pascuorum,4,115.41
BE_A_p_5,3Ap5,BE,BEUA,A,U,BEU,p,B.pascuorum,5,81.93
BE_B_l_1,3Bl1,BE,BEUB,B,U,BEU,l,B.lapidarius,1,112.82
BE_B_p_1,3Bp1,BE,BEUB,B,U,BEU,p,B.pascuorum,1,109.11
BE_B_p_3,3Bp3,BE,BEUB,B,U,BEU,p,B.pascuorum,3,35.68
BE_C_p_1,3Cp1,BE,BEUC,C,U,BEU,p,B.pascuorum,1,53.39
BE_C_p_2,3Cp2,BE,BEUC,C,U,BEU,p,B.pascuorum,2,127.68
BE_D_l_1,3Dl1,BE,BERD,D,R,BER,l,B.lapidarius,1,114.07
BE_D_l_2,3Dl2,BE,BERD,D,R,BER,l,B.lapidarius,2,74.23
BE_D_l_3,3Dl3,BE,BERD,D,R,BER,l,B.lapidarius,3,81.96
BE_D_l_4,3Dl4,BE,BERD,D,R,BER,l,B.lapidarius,4,103.40
BE_D_l_5,3Dl5,BE,BERD,D,R,BER,l,B.lapidarius,5,49.33
BE_D_p_1,3Dp1,BE,BERD,D,R,BER,p,B.pascuorum,1,122.50
BE_D_p_11,3Dp11,BE,BERD,D,R,BER,p,B.pascuorum,11,73.55
BE_D_p_13,3Dp13,BE,BERD,D,R,BER,p,B.pascuorum,13,144.18
BE_D_p_15,3Dp15,BE,BERD,D,R,BER,p,B.pascuorum,15,116.04
BE_D_p_2,3Dp2,BE,BERD,D,R,BER,p,B.pascuorum,2,176.23
BE_D_p_4,3Dp4,BE,BERD,D,R,BER,p,B.pascuorum,4,184.18
BE_D_p_5,3Dp5,BE,BERD,D,R,BER,p,B.pascuorum,5,66.73
BE_D_p_8,3Dp8,BE,BERD,D,R,BER,p,B.pascuorum,8,60.19
BE_D_p_9,3Dp9,BE,BERD,D,R,BER,p,B.pascuorum,9,45.06